Date,CalendarWeek,CalendarMonth,CalendarDayInMonth,CalendarYear
31/12/2019,1,12,31,2019
01/01/2020,1,1,1,2020
02/01/2020,1,1,2,2020
03/01/2020,1,1,3,2020
04/01/2020,1,1,4,2020
05/01/2020,1,1,5,2020
06/01/2020,2,1,6,2020
07/01/2020,2,1,7,2020
08/01/2020,2,1,8,2020
09/01/2020,2,1,9,2020
10/01/2020,2,1,10,2020
11/01/2020,2,1,11,2020
12/01/2020,2,1,12,2020
13/01/2020,3,1,13,2020
14/01/2020,3,1,14,2020
15/01/2020,3,1,15,2020
16/01/2020,3,1,16,2020
17/01/2020,3,1,17,2020
18/01/2020,3,1,18,2020
19/01/2020,3,1,19,2020
20/01/2020,4,1,20,2020
21/01/2020,4,1,21,2020
22/01/2020,4,1,22,2020
23/01/2020,4,1,23,2020
24/01/2020,4,1,24,2020
25/01/2020,4,1,25,2020
26/01/2020,4,1,26,2020
27/01/2020,5,1,27,2020
28/01/2020,5,1,28,2020
29/01/2020,5,1,29,2020
30/01/2020,5,1,30,2020
31/01/2020,5,1,31,2020
01/02/2020,5,2,1,2020
02/02/2020,5,2,2,2020
03/02/2020,6,2,3,2020
04/02/2020,6,2,4,2020
05/02/2020,6,2,5,2020
06/02/2020,6,2,6,2020
07/02/2020,6,2,7,2020
08/02/2020,6,2,8,2020
09/02/2020,6,2,9,2020
10/02/2020,7,2,10,2020
11/02/2020,7,2,11,2020
12/02/2020,7,2,12,2020
13/02/2020,7,2,13,2020
14/02/2020,7,2,14,2020
15/02/2020,7,2,15,2020
16/02/2020,7,2,16,2020
17/02/2020,8,2,17,2020
18/02/2020,8,2,18,2020
19/02/2020,8,2,19,2020
20/02/2020,8,2,20,2020
21/02/2020,8,2,21,2020
22/02/2020,8,2,22,2020
23/02/2020,8,2,23,2020
24/02/2020,9,2,24,2020
25/02/2020,9,2,25,2020
26/02/2020,9,2,26,2020
27/02/2020,9,2,27,2020
28/02/2020,9,2,28,2020
29/02/2020,9,2,29,2020
01/03/2020,9,3,1,2020
02/03/2020,10,3,2,2020
03/03/2020,10,3,3,2020
04/03/2020,10,3,4,2020
05/03/2020,10,3,5,2020
06/03/2020,10,3,6,2020
07/03/2020,10,3,7,2020
08/03/2020,10,3,8,2020
09/03/2020,11,3,9,2020
10/03/2020,11,3,10,2020
11/03/2020,11,3,11,2020
12/03/2020,11,3,12,2020
13/03/2020,11,3,13,2020
14/03/2020,11,3,14,2020
15/03/2020,11,3,15,2020
16/03/2020,12,3,16,2020
17/03/2020,12,3,17,2020
18/03/2020,12,3,18,2020
19/03/2020,12,3,19,2020
20/03/2020,12,3,20,2020
21/03/2020,12,3,21,2020
22/03/2020,12,3,22,2020
23/03/2020,13,3,23,2020
24/03/2020,13,3,24,2020
25/03/2020,13,3,25,2020
26/03/2020,13,3,26,2020
27/03/2020,13,3,27,2020
28/03/2020,13,3,28,2020
29/03/2020,13,3,29,2020
30/03/2020,14,3,30,2020
31/03/2020,14,3,31,2020
01/04/2020,14,4,1,2020
02/04/2020,14,4,2,2020
03/04/2020,14,4,3,2020
04/04/2020,14,4,4,2020
05/04/2020,14,4,5,2020
06/04/2020,15,4,6,2020
07/04/2020,15,4,7,2020
08/04/2020,15,4,8,2020
09/04/2020,15,4,9,2020
10/04/2020,15,4,10,2020
11/04/2020,15,4,11,2020
12/04/2020,15,4,12,2020
13/04/2020,16,4,13,2020
14/04/2020,16,4,14,2020
15/04/2020,16,4,15,2020
